CODART,RUBRO,PROVEEDOR,DESCR,PRECIO,MONEDA,DOLAR,PRECIO2,VENTA3,CAMPNUE,BPROVEED,ART_PROPIO,BBARRA,BEQUIVA1,BEQUIV11,BEQUIVA2,BEQUIV22,BEQUIVA3,BEQUIV33
1086,ANTENA,FELKO,FIAT-PEUGEOT-RENAULT TECHO RE-,"450,58",0,0,"450,58","450,58",1086         │     450.58       │ ANTENA               │ FELKO,4,,0,,,,,,
1086N,ANTENA,FELKO,FIAT-PEUGEOT-RENAULT TECHO RE-,"450,58",0,0,"450,58","450,58",1086N        │     450.58       │ ANTENA               │ FELKO,4,,0,,,,,,
2087,ANTENA,FELKO,FORD ESCORT-VW GACEL-SENDA-FIA,"450,58",0,0,"450,58","450,58",2087         │     450.58       │ ANTENA               │ FELKO,4,,0,,,,,,
2086,ANTENA,FELKO,PEUGEOT MOD.EUROPEO TECHO REGU,"450,58",0,0,"450,58","450,58",2086         │     450.58       │ ANTENA               │ FELKO,4,,0,,,,,,
2086N,ANTENA,FELKO,FIAT-PEUGEOT-RENAULT- TECHO RE,"450,58",0,0,"450,58","450,58",2086N        │     450.58       │ ANTENA               │ FELKO,4,,0,,,,,,
