"id","idPedido","codFabrica","codArticulo","cant","precio","created_at","updated_at"
"3","12","004","1022B       ","2","          96.69","2017-06-07 03:04:29","2017-06-07 04:39:04"
"8","12","004","1038","3","          92.41","2017-06-07 03:20:45","2017-06-12 22:51:03"
"12","12","004","1022B       ","3","          96.69","2017-06-07 03:22:39","2017-06-07 03:22:39"
"13","12","004","1038","4","          92.41","2017-06-07 03:22:47","2017-06-07 03:22:47"
"16","12","004","1022B       ","1","          96.69","2017-06-07 03:24:59","2017-06-07 03:24:59"
"17","12","004","1022B       ","3","          96.69","2017-06-07 03:25:37","2017-06-11 23:03:55"
"22","12","004","1038","4","          92.41","2017-06-07 03:27:36","2017-06-11 23:03:38"
"23","12","112","00620S-C    ","1","          46.75","2017-06-11 19:25:59","2017-06-20 13:41:07"
